game_id,team,player_id,matchup_id,position,archetype,field_goal_percentage,three_point_percentage,three_ptrs,rebounds,assists,steals,turnovers,blocks,points
7618-kings,kings,Coleworld2k,ImSoFarAhead,1,4,0.44,0.29,2,0,3,1,3,0,10
7618-kings,kings,Safiya4ya,Rux,2,5,0.5,0.43,3,0,2,1,1,0,11
7618-kings,kings,TimelyCook,linsanity,3,1,0.6,0,0,3,3,2,2,0,20
7618-kings,kings,Worthingcolt,JosephTheTruth,5,5,0.6,0,0,13,6,1,1,2,6
7618-kings,kings,Mootyy,LetsGetItRamo,4,1,0.57,0.67,4,1,3,1,1,2,14
7618-kings,pistons,Rux,Safiya4ya,2,5,0.63,0.5714285714,4,1,1,1,1,0,14
7618-kings,pistons,JosephTheTruth,Worthingcolt,5,5,0.4,0,0,12,2,0,0,2,8
7618-kings,pistons,LetsGetItRamo,Mootyy,4,2,0.64,1,1,10,4,0,2,0,19
7618-kings,pistons,ImSoFarAhead,Coleworld2k,1,2,0.3846153846,0.375,3,0,8,1,3,0,15
7618-kings,pistons,linsanity,TimelyCook,3,2,0.5714285714,0,0,2,4,1,1,0,8
7718-knicks,sixers,Radiant,IamAdamthe1st,1,4,0.53,0.17,1,0,13,3,4,0,21
7718-knicks,sixers,ZDS,Yeynotgaming,2,5,1,1,2,0,1,0,0,0,8
7718-knicks,sixers,Steez,Goofy757,5,2,0.6,0,0,6,2,0,0,1,13
7718-knicks,sixers,Ifeast,Natekahl,4,5,1,0,0,6,4,2,1,0,6
7718-knicks,sixers,Newdini33,Idrisdagoat6,3,5,0.67,0.33,1,3,0,0,2,1,22
7718-knicks,knicks,Idrisdagoat6,Newdini33,3,2,0.53,0.67,2,4,5,0,0,1,20
7718-knicks,knicks,Natekahl,Ifeast,4,5,0.25,0,0,3,3,0,0,1,2
7718-knicks,knicks,Goofy757,Steez,5,2,0.75,0,0,11,4,2,3,1,33
7718-knicks,knicks,Yeynotgaming,ZDS,2,5,0.8,0,0,0,0,0,0,0,11
7718-knicks,knicks,IamAdamthe1st,Radiant,1,4,0.43,0,0,0,12,2,2,0,9
72018-kings,kings,Coleworld2k,MelEast,4,5,0.6,0.6,3,10,0,1,1,3,9
72018-kings,kings,Safiya4ya,Speedbrook,2,5,0.4,0.4,2,0,2,0,0,0,7
72018-kings,kings,TimelyCook,Profusion,3,4,0.5555555556,0.2,1,2,2,2,2,1,21
72018-kings,kings,Worthingcolt,Ofab,1,4,0.35,0.4,2,1,12,0,0,0,17
72018-kings,kings,Mootyy,ArsOnalX,5,2,0.4285714286,0,0,17,5,1,1,1,18
72018-kings,celtics,Profusion,TimelyCook,3,3,0.6428571429,0.5,4,1,1,0,0,0,22
72018-kings,celtics,ArsOnalX,Mootyy,5,5,0.375,0,0,13,0,0,1,5,14
72018-kings,celtics,Speedbrook,Safiya4ya,2,5,0.8333333333,0.75,3,1,1,0,0,0,14
72018-kings,celtics,MelEast,Coleworld2k,4,2,0.5454545455,0,0,15,5,2,2,3,12
72018-kings,celtics,Ofab,Worthingcolt,1,4,0.5,0.33,1,0,21,2,3,0,15
72118-mavs,mavs,BallLikeSeem,PhenomVV,2,5,0.57,0,0,2,1,2,2,0,8
72118-mavs,mavs,Devillon,DDouble2k,4,5,0.67,0.6,3,1,0,0,0,0,11
72118-mavs,mavs,Hazzauk2k,UniversalPhenom,5,4,0.83,0.8,4,4,1,0,0,1,14
72118-mavs,mavs,Dayfri,DDouble2k,1,2,0.14,0.2,1,1,3,0,0,0,3
72118-mavs,mavs,Dimez,AuthenticAfrican,3,1,0.77,0,0,7,9,2,4,0,41
